Coaster_Name,Location,Status,Manufacturer,Year_Introduced,Opening_Date,Speed_mph
The Boss (roller coaster),Six Flags St. Louis,Operating,Custom Coasters International,2000,2000-04-29,66.3
Boulder Dash (roller coaster),Lake Compounce,Operating,Custom Coasters International,2000,2000-05-21,60.0
Catwoman's Whip,Six Flags New England,Operating,Zierer,2000,2000-05-05,22.4
Dania Beach Hurricane,Boomers!,Removed,"Coaster Works, Inc.",2000,2000-11-01,50.0
Diving Machine G5,Janfusun Fancyworld,Operating,Bolliger & Mabillard,2000,2000-03-29,68.3
Dominator (roller coaster),Other,,Bolliger & Mabillard,2000,,65.0
Flying Dutchman Gold Mine,Other,,Mack Rides,2000,,28.0
Flying Super Saturator,Carowinds,Removed,Setpoint USA,2000,2000-04-01,30.0
Flying Unicorn,Other,,"Vekoma (Orlando, Japan)Mack Rides (Hollywood, Beijing)",2000,,28.5
Ghost Chasers (roller coaster),Movie Park Germany,Operating,Mack Rides,2000,2000-01-01,28.0
Goliath (Six Flags Magic Mountain),Six Flags Magic Mountain,Operating,Giovanola,2000,2000-02-11,85.0
Gotham City Gauntlet: Escape from Arkham Asylum,Other,,Maurer AG,2000,,28.0
Hurricane: Category 5,Myrtle Beach Pavilion,Removed,Custom Coasters International,2000,2000-05-06,55.0
Jet Star (Luna Park),Other,,Anton Schwarzkopf,2000,,31.1
Katun (roller coaster),Mirabilandia,Operating,Bolliger & Mabillard,2000,2000-04-01,65.0
Kraken (roller coaster),SeaWorld Orlando,Operating,Bolliger & Mabillard,2000,2000-06-01,65.0
The Legend (roller coaster),Holiday World & Splashin' Safari,Operating,Custom Coasters International,2000,2000-05-06,59.0
Lightning Racer,Other,Operating,Great Coasters International,2000,2000-05-13,51.0
Linnunrata,Linnanmäki,Operating,Zierer,2000,2000-05-01,24.9
Medusa (Six Flags Discovery Kingdom),Six Flags Discovery Kingdom,Operating,Bolliger & Mabillard,2000,2000-03-18,65.0
Mega Zeph,Six Flags New Orleans,Closed,Custom Coasters International,2000,2000-05-20,57.0
Millennium Force,Cedar Point,Operating,Intamin,2000,2000-05-13,93.0
Muskrat Scrambler,Six Flags New Orleans,Closed,L&T Systems,2000,2000-05-20,25.0
Possessed (roller coaster),Other,,Intamin,2000,,70.0
Ravine Flyer III,Waldameer Park,Operating,E&F Miler Industries,2000,2000-01-01,
RC-48,Morey's Piers,Removed,Pinfari,2000,2000-01-01,
Road Runner Express (Six Flags Kentucky Kingdom),Other,,Maurer AG,2000,,28.0
Road Runner Express (Six Flags New Orleans),Other,,Vekoma,2000,,21.7
Road Runner Rollercoaster,Warner Bros. Movie World,,Vekoma,2000,,28.5
Roller Coaster (Papéa Parc),Other,,Zierer,2000,,22.4
Roller Coaster (Suoi Tien Park),Suoi Tien Amusement Park,Operating,Vekoma,2000,2000-01-01,43.5
Son of Beast,Kings Island,Removed,Roller Coaster Corporation of America,2000,2000-04-28,78.4
Speed – The Ride,Other,,Premier Rides,2000,2000-04-28,70.0
Speed of Sound (roller coaster),Walibi Holland,Operating,Vekoma,2000,2000-04-22,47.0
Steel Dragon 2000,Nagashima Spa Land,Operating,D. H. Morgan Manufacturing,2000,2000-08-01,95.0
Superman The Ride,Six Flags New England,Operating,Intamin,2000,2000-05-05,77.0
Superman: Krypton Coaster,Six Flags Fiesta Texas,Operating,Bolliger & Mabillard,2000,2000-03-11,70.0
Svalbard Ekspressen,Kongeparken,Operating,Vekoma,2000,2000-01-01,21.7
Untamed (Walibi Holland),Walibi Holland,Operating,Rocky Mountain Construction,2000,2019-07-01,57.2
Villain (roller coaster),Geauga Lake,Removed,Custom Coasters International,2000,2000-05-05,59.0
Woodstock Express (Dorney Park),Dorney Park & Wildwater Kingdom,Operating,Zamperla,2000,2000-05-05,13.0
Xpress: Platform 13,Walibi Holland,Operating,Vekoma,2000,2000-04-01,55.9
Zydeco Scream,Other,,Vekoma,2000,,47.0
Batwing (roller coaster),Six Flags America,Operating,Vekoma,2001,2001-06-16,50.0
California Screamin',Disney California Adventure,Operating,Intamin,2001,2001-02-08,55.0
Cheetah (Wild Adventures),Wild Adventures,Removed,Custom Coasters International,2001,2001-06-16,52.0
Colossos - Kampf der Giganten,Heide Park,Operating,Intamin,2001,2001-04-13,68.4
Cornball Express,Indiana Beach,Operating,Custom Coasters International,2001,2001-05-18,45.0
Déjà Vu (roller coaster),Other,In Production,Vekoma,2001,,65.6
Do-Dodonpa,Fuji-Q Highland,Closed,S&S – Sansei Technologies,2001,2001-12-21,111.8
Expedition GeForce,"Holiday Park, Germany",Operating,Intamin,2001,2001-06-18,74.6
Flying Ace Aerial Chase,Kings Island,Operating,Vekoma,2001,2001-01-01,26.0
Giant Inverted Boomerang,Other,In Production,Vekoma,2001,,65.6
Goofy's Sky School,Disney California Adventure,Operating,Mack Rides,2001,2001-02-08,27.0
Hypersonic XLC,Kings Dominion,Removed,S&S – Sansei Technologies,2001,2001-03-24,80.0
Incredicoaster,Disney California Adventure,Operating,Intamin,2001,2001-02-08,55.0
Insane Speed,Janfusun Fancyworld,Operating,Bolliger & Mabillard,2001,2001-01-01,53.4
Lego Technic Test Track,Other,,Mack Rides,2001,,35.0
MP Xpress,Movie Park Germany,Operating,Vekoma,2001,2001-04-06,49.7
Mulholland Madness,Disney California Adventure,Operating,Mack Rides,2001,2001-02-08,27.0
Nitro (Six Flags Great Adventure),Six Flags Great Adventure,Operating,Bolliger & Mabillard,2001,2001-04-07,80.0
Phantom's Revenge,Kennywood,Operating,D. H. Morgan Manufacturing,2001,1991-05-10,85.0
Silver Streak (Canada's Wonderland),Canada's Wonderland,Operating,Vekoma,2001,2001-05-06,26.0
Talon (roller coaster),Dorney Park & Wildwater Kingdom,Operating,Bolliger & Mabillard,2001,2001-05-05,58.0
The Flash: Vertical Velocity,Six Flags Discovery Kingdom,SBNO (Standing But Not Operating),Intamin,2001,2001-06-08,65.0
Thundercoaster (TusenFryd),TusenFryd,Operating,Vekoma,2001,2001-05-01,57.8
Titan (Six Flags Over Texas),Six Flags Over Texas,Operating,Giovanola,2001,2001-04-27,85.0
Vertical Velocity (roller coaster),Six Flags Great America,Temporarily closed,Intamin,2001,2001-05-18,70.0
Vonkaputous,Linnanmäki,Removed,Premier Rides,2001,2001-05-12,37.3
Wildfire (Silver Dollar City),Silver Dollar City,Operating,Bolliger & Mabillard,2001,2001-04-04,66.0
Wile E. Coyote's Grand Canyon Blaster,"Arlington, Texas, U.S.",Operating,,2001,,
X-Flight (Geauga Lake),Other,,Vekoma,2001,,50.0
Apple Zapple (Kings Dominion),Kings Dominion,Operating,Mack Rides,2002,2002-03-22,35.0
Avalancha (roller coaster),Xetulul Theme Park,Operating,Intamin,2002,2002-01-01,54.7
Batman: The Dark Knight (roller coaster),Six Flags New England,Operating,Bolliger & Mabillard,2002,2002-04-20,55.0
Batman: Arkham Asylum (roller coaster),Parque Warner Madrid,Operating,Bolliger & Mabillard,2002,2002-04-06,49.7
Colossus (Thorpe Park),Thorpe Park,Operating,Intamin,2002,2002-03-22,45.0
Escape from Madagascar,Dreamworld,Operating,Vekoma,2002,2002-12-26,26.0
Flying Coaster (Elitch Gardens),Other,,Zamperla,2002,,25.7
Galactica (roller coaster),Alton Towers,Operating,Bolliger & Mabillard,2002,2002-03-16,46.6
Goliath (Walibi Holland),Walibi Holland,Operating,Intamin,2002,2002-03-29,65.9
Jubilee Odyssey,Fantasy Island (UK amusement park),Operating,Vekoma,2002,2002-05-23,63.0
Lost Coaster of Superstition Mountain,Indiana Beach,Operating,Custom Coasters International,2002,2002-06-06,20.0
New Mexico Rattler,Cliff's Amusement Park,Operating,,2002,2002-09-28,47.0
Primeval Whirl,Disney's Animal Kingdom,Removed,Reverchon Industries,2002,2002-03-31,29.1
Ricochet (Carowinds),Carowinds,Operating,Mack Rides,2002,2002-03-23,28.0
Roller Soaker,Hersheypark,Removed,Setpoint USA,2002,2002-05-04,20.5
Rugrats Runaway Reptar (Dreamworld),Dreamworld,Operating,Vekoma,2002,2002-12-26,26.0
Scooby-Doo Spooky Coaster,Warner Bros. Movie World,Operating,Mack Rides,2002,2002-06-17,27.7
Silver Star (roller coaster),Europa-Park,Operating,Bolliger & Mabillard,2002,2002-03-23,78.9
Star Jet,Casino Pier,Removed,E&F Miler Industries,2002,2002-01-01,
Superman: La Atracción de Acero,Parque Warner Madrid,Operating,Bolliger & Mabillard,2002,2002-04-06,62.1
Superman: Ultimate Flight,Other,,Bolliger & Mabillard,2002,,51.0
Toboggan (Conneaut Lake Park),Conneaut Lake Park,Removed,Chance Rides,2002,2002-01-01,
Tom & Jerry (roller coaster),Parque Warner Madrid,Operating,Zierer,2002,2002-04-06,22.0
Le Vampire,La Ronde,Operating,Bolliger & Mabillard,2002,2002-05-18,50.0
Wicked Twister,Cedar Point,Closed,Intamin,2002,2002-05-05,72.0
Winja's Fear & Force,Other,Operating,Maurer AG,2002,2002-03-30,37.2
X2 (roller coaster),Six Flags Magic Mountain,Operating,Arrow Dynamics,2002,2002-01-12,76.0
Xcelerator,Knott's Berry Farm,Operating,Intamin,2002,2002-06-22,82.0
Atlantis Adventure,Lotte World,Operating,Intamin,2003,2003-01-01,46.6
Balder (roller coaster),Liseberg,Operating,Intamin,2003,2003-04-12,55.9
Canyon Blaster (Great Escape),Other,,Arrow Development,2003,,45.0
Dragon Express,Adventure World,Operating,Zamperla,2003,2003-09-27,
Greased Lightnin' (Six Flags Discovery Kingdom),Other,Discontinued,Anton Schwarzkopf,2003,,
Greezed Lightnin' (Kentucky Kingdom),Other,Discontinued,Anton Schwarzkopf,2003,,
Half Pipe (roller coaster),Other,,Intamin,2003,,43.5
Jack Rabbit (Celebration City),"Orlando, FloridaKissimmee, FloridaFayetteville, GeorgiaUnited States",Operating,,2003,,
The Jester (roller coaster),Other,,Vekoma,2003,,40.0
Kiddy Hawk,Carowinds,Operating,Vekoma,2003,2003-03-22,26.0
Nemesis Inferno,Thorpe Park,Operating,Bolliger & Mabillard,2003,2003-04-05,49.7
Ozark Wildcat,Celebration City,Removed,Great Coasters International,2003,2003-05-01,45.0
Scream (roller coaster),Six Flags Magic Mountain,Operating,Bolliger & Mabillard,2003,2003-04-12,63.0
Spider (roller coaster),Lagoon,Operating,Maurer AG,2003,2003-04-01,37.3
Steel Venom (Valleyfair),Valleyfair,Operating,Intamin,2003,2003-05-17,68.0
Swamp Thing (Wild Adventures),Wild Adventures,Operating,Vekoma,2003,2003-01-01,26.0
Thunder Dolphin,Tokyo Dome City Attractions,Operating,Intamin,2003,2003-05-01,80.8
Top Thrill Dragster,Cedar Point,Closed,Intamin,2003,2003-05-04,120.0
Twist n' Shout,Loudoun Castle,Removed,Anton Schwarzkopf,2003,2003-04-01,41.0
Vild-Svinet,BonBon-Land,Operating,Gerstlauer,2003,2003-05-16,45.0
Vilda Musen,Gröna Lund,Operating,Gerstlauer,2003,2003-04-18,34.2
Booster Bike,Toverland,Operating,Vekoma,2004,2004-07-27,46.6
Dæmonen,Tivoli Gardens,Operating,Bolliger & Mabillard,2004,2004-04-16,47.8
Dragon's Fury (roller coaster),Chessington World of Adventures,Operating,Maurer AG,2004,2004-03-27,
Fairly Odd Coaster,Nickelodeon Universe,Operating,Gerstlauer,2004,2004-03-15,31.0
Hell Cat,Clementon Amusement Park,Operating,S&S – Sansei Technologies,2004,2004-09-18,56.0
The Joker Funhouse Coaster,Six Flags Over Georgia,Operating,Chance Manufacturing,2004,2004-09-04,30.0
Lightning (roller coaster),Kuwait Entertainment City,Removed,Bolliger & Mabillard,2004,2004-01-01,53.0
Nighthawk (roller coaster),Other,,Vekoma,2004,,51.0
Ragin' Cajun (roller coaster),Other,,Zamperla,2004,,29.1
Revenge of the Mummy,Other,,Premier Rides,2004,,40.0
Sand Serpent,Other,,Mack Rides,2004,,28.0
Shock Wave (Brean Leisure Park),Brean Leisure Park,Operating,Pinfari,2004,2004-01-01,
Silver Bullet (Knott's Berry Farm),Knott's Berry Farm,Operating,Bolliger & Mabillard,2004,2004-12-07,55.0
Spinball Whizzer,Alton Towers,Operating,Maurer AG,2004,2004-03-27,37.3
Spinning Dragons,Worlds of Fun,Operating,Gerstlauer,2004,2004-04-17,31.0
Steel Dragon (Waldameer),Waldameer Park,Operating,Maurer AG,2004,2004-07-02,37.3
Storm Runner,Hersheypark,Operating,Intamin,2004,2004-05-08,75.0
Super Grover's Box Car Derby,Other,,Zierer,2004,,28.0
Superman El Último Escape,Six Flags México,Operating,D. H. Morgan Manufacturing,2004,2004-11-19,74.6
The Gauntlet (roller coaster),Magic Springs and Crystal Falls,Operating,Vekoma,2004,2004-04-10,49.7
Thunderhead (roller coaster),Dollywood,Operating,Great Coasters International,2004,2004-04-03,53.7
Time Warp (roller coaster),Canada's Wonderland,Operating,Zamperla,2004,2004-05-02,25.7
Tulireki,Linnanmäki,Operating,Mack Rides,2004,2004-04-29,36.0
Typhoon (Bobbejaanland),Bobbejaanland,Operating,Gerstlauer,2004,2004-04-10,49.7
WhirlWind (Seabreeze),Seabreeze Amusement Park,Operating,Maurer AG,2004,2004-01-01,37.3
Atlantica SuperSplash,Europa Park,,Mack Rides,2005,2005-03-19,49.7
Bat (Lagoon),Lagoon Amusement Park,Operating,Vekoma,2005,2005-04-16,
Cobra (PowerPark),PowerPark,Operating,Vekoma,2005,2005-01-01,47.0
Fairly Odd Coaster (Carowinds),Carowinds,Operating,Philadelphia Toboggan Coasters,2005,1975-01-01,36.0
Frankie's Mine Train,Other,,Zamperla,2005,,
G Force (roller coaster),Drayton Manor Theme Park,Removed,Maurer AG,2005,2005-07-26,43.5
Hades 360,Mt. Olympus Water & Theme Park,Operating,The Gravity Group,2005,2013-05-14,60.0
Hydra the Revenge,Dorney Park & Wildwater Kingdom,Operating,Bolliger & Mabillard,2005,2005-05-07,53.0
Italian Job: Stunt Track (Canada's Wonderland),Other,,Premier Rides,2005,,40.0
Italian Job: Stunt Track (Kings Island),Other,,Premier Rides,2005,,40.0
Kanonen,Liseberg,Removed,Intamin,2005,2005-04-23,46.6
Kingda Ka,Six Flags Great Adventure,Operating,Intamin,2005,2005-05-21,128.0
Pandemonium (roller coaster),Other,,Gerstlauer,2005,,31.0
Raging Spirits,Tokyo DisneySea,Operating,Intamin,2005,2005-07-21,37.3
Rita (roller coaster),Alton Towers,Operating,Intamin,2005,2005-04-01,61.1
Sequoia Adventure,Gardaland,Closed,S&S - Sansei Technologies,2005,2005-04-30,
SheiKra,Busch Gardens Tampa Bay,Operating,Bolliger & Mabillard,2005,2005-05-21,70.0
Space Mountain: Mission 2,Disneyland Park (Paris),Operating,Vekoma,2005,2017-05-07,44.0
Superman Escape,Warner Bros. Movie World,Operating,Intamin,2005,2005-12-26,62.1
Wild Mouse (Beech Bend Park),Beech Bend Park,Operating,Zamperla,2005,2005-01-01,29.1
10 Inversion Roller Coaster,Chimelong Paradise,Operating,Intamin,2006,2006-01-01,45.0
Black Mamba (roller coaster),Phantasialand,Operating,Bolliger & Mabillard,2006,2006-05-24,49.7
Crystal Wing,Happy Valley Beijing,Operating,Bolliger & Mabillard,2006,2006-07-09,51.0
Eejanaika (roller coaster),Fuji-Q Highland,Operating,S&S Arrow,2006,2006-07-19,78.3
Expedition Everest,Disney's Animal Kingdom,Operating,Vekoma,2006,2006-04-07,50.0
Fairly Odd Coaster (Kings Island),Kings Island,Operating,Philadelphia Toboggan Coasters,2006,1972-01-01,35.0
Golden Wings in Snowfield,Happy Valley Beijing,Operating,Vekoma,2006,2006-07-09,53.7
Goliath (Six Flags Over Georgia),Six Flags Over Georgia,Operating,Bolliger & Mabillard,2006,2006-04-01,70.0
Goliath (La Ronde),La Ronde,Operating,Bolliger & Mabillard,2006,2006-05-13,68.4
Grand Exposition Coaster,Silver Dollar City,Operating,Zamperla,2006,2006-04-01,
Italian Job: Turbo Coaster,Other,,Premier Rides,2006,,40.0
Jungle Racing,Happy Valley Beijing,Operating,Vekoma,2006,2006-07-09,30.1
Kentucky Rumbler,Beech Bend Park,Operating,Great Coasters International,2006,2006-05-06,47.0
Kumali,Flamingo Land,Operating,Vekoma,2006,2006-01-01,54.9
Patriot (Worlds of Fun),Worlds of Fun,Operating,Bolliger & Mabillard,2006,2006-04-08,60.0
Speed Monster,TusenFryd,Operating,Intamin,2006,2006-04-23,55.9
Speed: No Limits,Oakwood Theme Park,Operating,Gerstlauer,2006,2006-04-13,59.0
Stealth (roller coaster),Thorpe Park,Operating,Intamin,2006,2006-03-15,80.0
Tatsu,Six Flags Magic Mountain,Operating,Bolliger & Mabillard,2006,2006-05-13,62.0
Thunderbird (PowerPark),PowerPark,Operating,Great Coasters International,2006,2006-04-29,48.0
El Toro (Six Flags Great Adventure),Six Flags Great Adventure,Closed,Intamin,2006,2006-06-12,70.0
The Voyage (roller coaster),Holiday World & Splashin' Safari,Operating,The Gravity Group,2006,2006-05-06,67.0
X-Coaster,Magic Springs and Crystal Falls,Operating,Maurer AG,2006,2006-05-27,65.0
Boardwalk Bullet,Kemah Boardwalk,Operating,Martin & Vleminckx,2007,2007-08-31,51.0
Crush's Coaster,Walt Disney Studios Park,Operating,Maurer AG,2007,2007-06-09,37.7
De Vliegende Hollander,Efteling,Operating,Kumbak,2007,2007-04-01,42.9
Firehawk (roller coaster),Other,,Vekoma,2007,,50.0
Formule X,Drievliet Family Park,Operating,Maurer AG,2007,2007-04-06,45.0
Furius Baco,PortAventura Park,Operating,Intamin,2007,2007-06-05,83.9
Galaxy Orbiter,Galaxyland,Operating,Gerstlauer,2007,2007-07-17,24.9
Griffon (roller coaster),Busch Gardens Williamsburg,Operating,Bolliger & Mabillard,2007,2007-05-18,71.0
Hollywood Dream – The Ride,Universal Studios Japan,Operating,Bolliger & Mabillard,2007,2007-03-09,55.9
Infusion (roller coaster),Other,,Vekoma,2007,,50.0
Jimmy Neutron's Atomic Flyer,Movie Park Germany,Operating,Vekoma,2007,2007-03-01,
Kirnu,Linnanmäki,Operating,Intamin,2007,2007-04-27,37.0
Kvasten,Gröna Lund,Operating,Vekoma,2007,2007-04-28,34.2
Maverick (roller coaster),Cedar Point,Operating,Intamin,2007,2007-05-26,70.0
Mick Doohan's Motocoaster,Dreamworld,Operating,Intamin,2007,2007-09-30,44.7
Mystery Mine,Dollywood,Operating,Gerstlauer,2007,2007-04-13,43.5
Phaethon (roller coaster),Gyeongju World,Operating,Bolliger & Mabillard,2007,2007-05-05,55.9
Rage (roller coaster),Adventure Island,Operating,Gerstlauer,2007,2007-02-10,43.5
Renegade (roller coaster),Valleyfair,Operating,Great Coasters International,2007,2007-05-12,51.3
Sierra Sidewinder,Knott's Berry Farm,Operating,Mack Rides,2007,2007-05-26,37.0
Star Flyer (roller coaster),"Barangay 1, Pasay, Philippines",Closed,,2007,,
Surfrider,Wet'n'Wild Gold Coast,Operating,Intamin,2007,2007-09-01,
Troy (roller coaster),Toverland,Operating,Great Coasters International,2007,2007-06-29,54.0
Wicked (roller coaster),Lagoon Amusement Park,Operating,Zierer,2007,2007-06-01,55.0
American Thunder (roller coaster),Six Flags St. Louis,Operating,Great Coasters International,2008,2008-06-20,48.0
Backlot Stunt Coaster,Other,,Premier Rides,2008,,40.0
Behemoth (roller coaster),Canada's Wonderland,Operating,Bolliger & Mabillard,2008,2008-05-04,77.1
Cobra (Tivoli Friheden),Tivoli Friheden,Operating,Sartori Rides,2008,2008-06-28,43.5
The Dark Knight Coaster,Other,,Mack Rides,2008,,30.0
Dive Coaster (Chimelong Paradise),Chimelong Paradise,Operating,Bolliger & Mabillard,2008,2008-02-07,68.4
Dragon's Run,Other,,Bolliger & Mabillard,2008,,65.0
Fahrenheit (roller coaster),Hersheypark,Operating,Intamin,2008,2008-05-24,58.0
Flight Deck (Kings Island),Kings Island,Operating,Arrow Dynamics,2008,1993-04-09,51.0
Flight of the Hippogriff,Other,,"Vekoma (Orlando, Japan)Mack Rides (Hollywood, Beijing)",2008,,28.5
Goliath (Six Flags Fiesta Texas),Other,,Bolliger & Mabillard,2008,,50.0
Jet Rescue,Sea World (Australia),Operating,Intamin,2008,2008-12-26,43.5
Kawasemi,Tobu Zoo,Operating,Intamin,2008,2008-01-01,52.8
Mammut (roller coaster),Gardaland,Operating,Vekoma,2008,2008-03-19,31.1
Moto Coaster (Six Flags Darien Lake),Six Flags Darien Lake,Operating,Zamperla,2008,2008-05-01,38.0
Muntanya Russa (Tibidabo Amusement Park),Tibidabo Amusement Park,Operating,Vekoma,2008,2008-12-23,49.7
Pony Express (roller coaster),Knott's Berry Farm,Operating,Zamperla,2008,2008-05-22,38.0
Ravine Flyer II,Waldameer Park,Operating,The Gravity Group,2008,2008-05-17,60.0
Roller Coaster (Dai Nam Van Hien),Đại Nam Văn Hiến,Operating,Hebei Zhongye Metallurgical Equipment,2008,2008-09-11,46.6
Round About (roller coaster),"2904 Fantasy Way Myrtle Beach, South Carolina, U.S.",Chapter 7 bankruptcy; rides dismantled and sold; property sold,,2008,,
Salama (roller coaster),Linnanmäki,Operating,Maurer AG,2008,2008-04-25,37.3
Soak'd,"2904 Fantasy Way Myrtle Beach, South Carolina, U.S.",Chapter 7 bankruptcy; rides dismantled and sold; property sold,,2008,,
SpongeBob SquarePants Rock Bottom Plunge,Nickelodeon Universe,Operating,Gerstlauer,2008,2008-03-15,43.5
Steel Hawg,Indiana Beach,Operating,S&S – Sansei Technologies,2008,2008-07-05,41.0
Steel Lasso,Frontier City,Operating,Chance Morgan,2008,2008-07-18,30.0
T Express,Everland,Operating,Intamin,2008,2008-03-14,64.6
Tsunami (roller coaster),Other,,Anton Schwarzkopf,2008,,55.0
Apocalypse: The Ride,Six Flags Magic Mountain,Operating,Great Coasters International,2009,2009-05-23,50.1
Blue Fire,Europa-Park,Operating,Mack Rides,2009,2009-04-04,62.0
Diamondback (Kings Island),Kings Island,Operating,Bolliger & Mabillard,2009,2009-04-18,80.0
Diving Coaster,Happy Valley Shanghai,Operating,Bolliger & Mabillard,2009,2009-08-16,68.4
Escape of Novgorod,Hansa-Park,Operating,Gerstlauer,2009,2009-04-09,62.1
Falcon (Duinrell),Duinrell,Operating,Gerstlauer,2009,2009-05-14,43.5
Grover's Alpine Express,Busch Gardens Williamsburg,Operating,Zierer,2009,2009-04-03,26.5
Hollywood Rip Ride Rockit,Universal Studios Florida,Operating,Maurer AG,2009,2009-08-19,65.0
Hornet (roller coaster),Other,,Vekoma,2009,,
Insane (Gröna Lund),Gröna Lund,Operating,Intamin,2009,2009-04-25,37.3
ISpeed,Mirabilandia,Operating,Intamin,2009,2009-05-20,74.6
Kozmo's Kurves,"Elysburg, Pennsylvania, United States",,,2009,,
Manta (SeaWorld Orlando),SeaWorld Orlando,Operating,Bolliger & Mabillard,2009,2009-05-22,56.0
